BHC_NAME,RSSD_ID,REPORTING_MONTH,PORTFOLIO_ID,SEGMENT_ID,Product Type,Credit Score,Geography,Age,LTV,Delinquency,# Accounts,$ Outstandings,$ Commitment,# New Accounts,$ New Accounts,$ New Commitments,$ Commitment Increases,$ Commitment Decreases,$ Gross Contractual Charge-offs,$ Bankruptcy Charge-offs,$ Recoveries,$ Net Charge-offs,$ Adjustment Factor,$ Foreclosure,$ New Foreclosure,$ Other Real Estate Owned (OREO),$ New OREO,Weighted Average Life of Loans
Sample Bank,123456,2025-02,IntHE,010101010101,01:HELOAN,01:<= 660,01:Canada,01:<= Three years old,01:< 80,01:Current & 1-29 DPD,848,35.94,,23,5.27,,,,1.5,2.0,0.56,2.66,-0.72,2.26,0.7,1.15,1.12,2.01
Sample Bank,123456,2025-02,IntHE,010101010102,01:HELOAN,01:<= 660,01:Canada,01:<= Three years old,01:< 80,02:30-89 DPD,717,5.8,,48,9.13,,,,1.05,0.83,0.8,2.47,0.5,4.4,1.18,4.54,0.8,1.89
Sample Bank,123456,2025-02,IntHE,010101010103,01:HELOAN,01:<= 660,01:Canada,01:<= Three years old,01:< 80,03:90-119 DPD,926,1.58,,26,8.66,,,,0.56,0.84,0.17,2.7,0.38,4.0,1.27,1.03,1.86,19.21
Sample Bank,123456,2025-02,IntHE,010101010104,01:HELOAN,01:<= 660,01:Canada,01:<= Three years old,01:< 80,04:120-179 DPD,212,47.18,,9,3.22,,,,0.83,0.63,0.63,1.45,-0.73,1.04,0.57,0.13,0.75,19.94
Sample Bank,123456,2025-02,IntHE,010101010105,01:HELOAN,01:<= 660,01:Canada,01:<= Three years old,01:< 80,05:180+ DPD,801,64.21,,34,5.18,,,,0.9,1.34,0.43,2.25,0.63,2.14,0.18,4.75,1.35,13.65
Sample Bank,123456,2025-02,IntHE,010101010201,01:HELOAN,01:<= 660,01:Canada,01:<= Three years old,02:>= 80,01:Current & 1-29 DPD,222,7.35,,21,6.87,,,,1.78,0.59,0.94,0.94,0.22,2.01,1.72,0.47,1.17,20.62
Sample Bank,123456,2025-02,IntHE,010101010202,01:HELOAN,01:<= 660,01:Canada,01:<= Three years old,02:>= 80,02:30-89 DPD,511,21.44,,4,7.1,,,,0.33,1.72,0.83,2.2,-0.82,2.54,0.83,4.58,1.06,5.72
Sample Bank,123456,2025-02,IntHE,010101010203,01:HELOAN,01:<= 660,01:Canada,01:<= Three years old,02:>= 80,03:90-119 DPD,451,96.97,,15,0.3,,,,1.42,1.7,0.47,2.34,0.83,3.27,1.68,4.62,1.65,15.92
Sample Bank,123456,2025-02,IntHE,010101010204,01:HELOAN,01:<= 660,01:Canada,01:<= Three years old,02:>= 80,04:120-179 DPD,43,16.79,,2,8.75,,,,1.82,1.09,0.21,2.79,-0.45,1.52,0.07,3.32,0.73,15.06
Sample Bank,123456,2025-02,IntHE,010101010205,01:HELOAN,01:<= 660,01:Canada,01:<= Three years old,02:>= 80,05:180+ DPD,461,58.62,,20,1.11,,,,1.09,0.13,0.26,0.21,0.82,3.84,1.64,4.21,1.18,26.12
