BHC_NAME,RSSD_ID,REPORTING_MONTH,PORTFOLIO_ID,SEGMENT_ID,Product Type,Age,Geography,Credit Score,Delinquency Status,Security,# Accounts,$ Outstandings,# New Accounts,$ New Accounts,$ Commitments,$ Modifications,$ Gross Contractual Charge-offs,$ Bankruptcy Charge-offs,$ Recoveries,$ Net Charge-offs,Adjustment Factor,WAL
Bank_1,948775,2025-02,IntSB,10101010101,01 - Line of Credit,01 - <= Three years old,01 - Canada,01 - <=620,01 - Current & 1-29 DPD,01 - Secured,1364,362.62,63,21.56,146.48,82.86,0.95,1.65,1.07,1.53,0.0,24
Bank_2,824861,2025-02,IntSB,10101010102,01 - Line of Credit,01 - <= Three years old,01 - Canada,01 - <=620,01 - Current & 1-29 DPD,02 - Unsecured,2609,166.22,112,48.03,33.55,22.84,1.62,1.13,0.49,2.26,0.0,36
Bank_3,405266,2025-02,IntSB,10101010201,01 - Line of Credit,01 - <= Three years old,01 - Canada,01 - <=620,02 - 30-59 DPD,01 - Secured,1634,220.86,252,40.38,14.7,8.83,2.93,0.99,0.31,3.61,0.0,27
Bank_4,750944,2025-02,IntSB,10101010202,01 - Line of Credit,01 - <= Three years old,01 - Canada,01 - <=620,02 - 30-59 DPD,02 - Unsecured,1852,210.8,66,11.49,48.15,65.61,1.87,1.16,1.15,1.88,-0.0,72
Bank_5,325870,2025-02,IntSB,10101010301,01 - Line of Credit,01 - <= Three years old,01 - Canada,01 - <=620,03 - 60-89 DPD,01 - Secured,9045,296.18,184,27.13,116.46,51.55,2.8,0.88,1.3,2.38,0.0,65
Bank_6,785727,2025-02,IntSB,10101010302,01 - Line of Credit,01 - <= Three years old,01 - Canada,01 - <=620,03 - 60-89 DPD,02 - Unsecured,5897,78.4,411,5.54,31.28,67.3,1.29,0.69,0.51,1.47,0.0,42
Bank_7,917511,2025-02,IntSB,10101010401,01 - Line of Credit,01 - <= Three years old,01 - Canada,01 - <=620,04 - 90-119 DPD,01 - Secured,8879,105.39,415,40.92,191.91,52.86,4.25,1.29,1.12,4.42,-0.3,51
Bank_8,478433,2025-02,IntSB,10101010402,01 - Line of Credit,01 - <= Three years old,01 - Canada,01 - <=620,04 - 90-119 DPD,02 - Unsecured,2357,77.52,479,44.41,72.72,96.61,2.27,0.99,0.32,2.94,0.0,46
Bank_9,232199,2025-02,IntSB,10101010501,01 - Line of Credit,01 - <= Three years old,01 - Canada,01 - <=620,05 - 120+ DPD,01 - Secured,4231,293.02,439,31.32,58.11,13.18,3.36,1.43,0.46,4.33,0.0,24
Bank_10,244974,2025-02,IntSB,10101010502,01 - Line of Credit,01 - <= Three years old,01 - Canada,01 - <=620,05 - 120+ DPD,02 - Unsecured,1025,449.02,146,30.01,100.52,42.32,2.87,0.93,0.82,2.98,-0.0,35
Bank_11,723495,2025-02,IntSB,10101020101,01 - Line of Credit,01 - <= Three years old,01 - Canada,02 - >620,01 - Current & 1-29 DPD,01 - Secured,5410,344.66,218,26.87,88.09,85.76,1.11,1.6,1.19,1.52,0.0,37
Bank_12,703514,2025-02,IntSB,10101020102,01 - Line of Credit,01 - <= Three years old,01 - Canada,02 - >620,01 - Current & 1-29 DPD,02 - Unsecured,8898,130.81,366,24.52,35.22,39.19,4.17,1.74,0.24,5.67,0.0,62
Bank_13,105810,2025-02,IntSB,10101020201,01 - Line of Credit,01 - <= Three years old,01 - Canada,02 - >620,02 - 30-59 DPD,01 - Secured,2510,111.15,387,27.26,157.65,85.78,1.61,0.59,0.16,2.04,0.0,62
Bank_14,236103,2025-02,IntSB,10101020202,01 - Line of Credit,01 - <= Three years old,01 - Canada,02 - >620,02 - 30-59 DPD,02 - Unsecured,6051,241.39,202,29.38,158.55,10.43,3.2,1.74,1.14,3.8,-0.73,16
Bank_15,449750,2025-02,IntSB,10101020301,01 - Line of Credit,01 - <= Three years old,01 - Canada,02 - >620,03 - 60-89 DPD,01 - Secured,1466,199.15,90,15.98,22.93,94.7,3.48,0.5,0.85,3.13,0.0,69
Bank_16,979292,2025-02,IntSB,10101020302,01 - Line of Credit,01 - <= Three years old,01 - Canada,02 - >620,03 - 60-89 DPD,02 - Unsecured,1672,343.07,235,47.6,171.65,20.33,2.14,0.24,0.25,2.13,0.0,43
Bank_17,799540,2025-02,IntSB,10101020401,01 - Line of Credit,01 - <= Three years old,01 - Canada,02 - >620,04 - 90-119 DPD,01 - Secured,8248,495.15,411,19.46,72.94,59.72,1.8,1.94,0.16,3.58,0.0,60
Bank_18,797040,2025-02,IntSB,10101020402,01 - Line of Credit,01 - <= Three years old,01 - Canada,02 - >620,04 - 90-119 DPD,02 - Unsecured,4038,58.27,242,26.36,104.34,62.7,3.07,0.58,0.25,3.4,0.0,64
Bank_19,692423,2025-02,IntSB,10101020501,01 - Line of Credit,01 - <= Three years old,01 - Canada,02 - >620,05 - 120+ DPD,01 - Secured,8706,371.1,273,27.36,188.7,75.42,3.59,1.65,1.45,3.79,0.0,67
Bank_20,545109,2025-02,IntSB,10101020502,01 - Line of Credit,01 - <= Three years old,01 - Canada,02 - >620,05 - 120+ DPD,02 - Unsecured,3516,342.01,229,24.66,86.75,38.14,0.74,0.14,0.68,0.2,0.0,24
