BHC_NAME,RSSD_ID,REPORTING_MONTH,PORTFOLIO_ID,SEGMENT_ID,Product Type,Age,Credit Score,Delinquency Status,Education Level,# Accounts,$ Outstandings,# Accounts in Repayment,$ Outstandings in Repayment,# New Disbursements,$ New Disbursements,$ Unpaid Principal Balance with Co-Signer,$ Unpaid Principal Balance in Grace,$ Unpaid Principal Balance in Deferment,$ Unpaid Principal Balance in Forbearance,$ Gross Contractual Charge-offs,$ Bankruptcy Charge-offs,$ Recoveries,$ Net Charge-offs,Adjustment Factor,WAL,Security,# New Accounts,$ New Accounts,$ Commitments,$ Modifications,Geography,LTV Ratio,$ New Commitments,Original LTV,# New accounts,$ New accounts,$ Gross contractual charge-offs,$ Bankruptcy charge-offs,$ Net charge-offs,$ Adjustment factor,$ Foreclosure,$ New foreclosure,$ Other Real Estate Owned (OREO),$ New OREO,Weighted Average Life of Loans,LTV,Delinquency,$ Commitment,$ Commitment Increases,$ Commitment Decreases,$ Adjustment Factor,$ New Foreclosure,$ Commitment (HELOC only),$ New commitments (HELOC only),$ Commitment increases (HELOC only),$ Commitment decreases (HELOC only),Adjustment factor to reconcile $ gross contractual charge-offs to $ net charge-offs,$ Receivables,$ Unpaid principal balance,$ New commitments,# Accounts charged-off,Adjustment factor,$ O/S for 30+ DPD in last 24 months,# Accounts 30+ DPD in last 24 months
Bank_1,678409,2025-02,Student,101010101,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,01 - Current & 1-29 DPD,01 - Undergraduate - 4 year,9344,296.38,352,153.24,572,29.9,56.73,31.33,25.95,69.42,3.4,0.34,0.7,3.04,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_2,699379,2025-02,Student,101010102,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,01 - Current & 1-29 DPD,02 - Graduate / Professional,6127,144.37,61,241.89,48,95.56,143.15,81.53,79.37,61.45,4.5,1.22,0.37,5.35,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_3,925207,2025-02,Student,101010103,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,01 - Current & 1-29 DPD,"03 - Other (e.g. community college, trade school, etc.)",4811,386.67,457,197.68,58,127.19,37.03,64.3,49.04,73.38,0.72,0.5,0.26,0.96,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_4,866611,2025-02,Student,101010104,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,01 - Current & 1-29 DPD,04 - Not available,1587,89.63,284,231.3,303,23.94,13.53,70.54,29.01,71.12,3.15,0.45,1.25,2.35,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_5,955672,2025-02,Student,101010201,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,02 - 30-59 DPD,01 - Undergraduate - 4 year,3382,51.19,219,296.59,581,23.15,105.63,39.03,34.64,66.28,2,0.13,0.7,1.43,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_6,578844,2025-02,Student,101010202,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,02 - 30-59 DPD,02 - Graduate / Professional,7659,102.57,70,221.29,691,174.65,71.18,76.03,57.26,29.7,3.54,1.01,1.14,3.41,0,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_7,291685,2025-02,Student,101010203,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,02 - 30-59 DPD,"03 - Other (e.g. community college, trade school, etc.)",4444,438.29,195,179.71,312,135.46,49.47,92.34,43.65,42.32,2.49,0.91,0.55,2.85,-0.06,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_8,434742,2025-02,Student,101010204,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,02 - 30-59 DPD,04 - Not available,3737,276.31,316,113.4,293,84.5,56.69,27.32,65.85,50.38,3.71,0.85,0.11,4.45,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_9,448429,2025-02,Student,101010301,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,03 - 60-89 DPD,01 - Undergraduate - 4 year,2780,380.48,103,22.71,587,152.86,52.13,36.76,71.28,59.35,1.45,0.24,1.45,0.24,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_10,932438,2025-02,Student,101010302,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,03 - 60-89 DPD,02 - Graduate / Professional,4287,219.42,194,7.9,77,27.38,99.1,52.01,24.13,25.67,3.18,0.39,0.4,3.17,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_11,453499,2025-02,Student,101010303,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,03 - 60-89 DPD,"03 - Other (e.g. community college, trade school, etc.)",1125,407.85,223,83.53,157,104.06,164.46,83.53,40.28,42.25,1.41,0.25,0.31,1.35,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_12,773416,2025-02,Student,101010304,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,03 - 60-89 DPD,04 - Not available,8450,169.73,259,229.83,746,69.7,81.55,99.54,20.84,14.44,3.71,1.71,1.41,4.01,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_13,408893,2025-02,Student,101010401,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,04 - 90-119 DPD,01 - Undergraduate - 4 year,9685,426.19,275,171.87,698,93.3,161.79,90.34,59.91,35.76,4.18,1.04,1.42,3.8,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_14,816017,2025-02,Student,101010402,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,04 - 90-119 DPD,02 - Graduate / Professional,1484,219.22,100,144.29,367,149.19,116.5,48.02,82.88,44.22,3.53,0.27,0.33,3.47,-0.09,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_15,570500,2025-02,Student,101010403,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,04 - 90-119 DPD,"03 - Other (e.g. community college, trade school, etc.)",1155,82.39,145,244.51,600,116.83,60.47,84.15,64.5,27.83,1.9,0.88,0.22,2.56,0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_16,422286,2025-02,Student,101010404,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,04 - 90-119 DPD,04 - Not available,4138,202.71,258,187.7,872,56.21,77.5,98.85,72.94,82.22,1.22,1.77,0.12,2.87,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_17,883170,2025-02,Student,101010501,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,05 - 120+ DPD,01 - Undergraduate - 4 year,9406,88.16,300,102.37,500,29.23,110.94,40.38,49.59,32.62,4.4,1.15,1.48,4.07,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_18,489479,2025-02,Student,101010502,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,05 - 120+ DPD,02 - Graduate / Professional,1720,215.95,397,167.54,344,35.75,174.07,55.19,90.84,37.69,4.15,0.24,0.73,3.66,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_19,530834,2025-02,Student,101010503,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,05 - 120+ DPD,"03 - Other (e.g. community college, trade school, etc.)",1496,140.23,428,275.69,366,83.94,183.67,82.86,92.73,21.42,1.64,0.43,1.05,1.02,0,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_20,424202,2025-02,Student,101010504,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,01 - <=660,05 - 120+ DPD,04 - Not available,3544,423.85,67,231.72,455,157.96,137.93,13.62,60.39,69.85,2.54,0.38,0.55,2.37,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_21,463897,2025-02,Student,101020101,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,02 - >660,01 - Current & 1-29 DPD,01 - Undergraduate - 4 year,4590,361.92,231,219.21,61,153.49,106.87,55.84,37.07,27.7,2.96,1.81,0.37,4.4,-0.8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_22,785317,2025-02,Student,101020102,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,02 - >660,01 - Current & 1-29 DPD,02 - Graduate / Professional,8830,59.34,382,205.53,613,192.4,27.04,84.27,59.91,93.49,1.73,1.42,0.77,2.38,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_23,154388,2025-02,Student,101020103,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,02 - >660,01 - Current & 1-29 DPD,"03 - Other (e.g. community college, trade school, etc.)",6596,99.02,423,161.93,682,46.47,88.25,16.95,26.16,75.52,0.69,1.24,1.29,0.64,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_24,291077,2025-02,Student,101020104,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,02 - >660,01 - Current & 1-29 DPD,04 - Not available,9110,331.71,192,245.07,233,76.12,155.04,39.8,68.04,58.1,3.96,1.44,1.29,4.11,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_25,412744,2025-02,Student,101020201,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,02 - >660,02 - 30-59 DPD,01 - Undergraduate - 4 year,2216,195.56,471,261.11,846,143.11,100.59,49.74,57.71,42.99,1.44,1.15,1.26,1.33,0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_26,642412,2025-02,Student,101020202,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,02 - >660,02 - 30-59 DPD,02 - Graduate / Professional,8903,157.12,86,17.84,412,79.38,170.45,88.89,96.15,40.3,3.3,1.8,0.19,4.91,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_27,355114,2025-02,Student,101020203,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,02 - >660,02 - 30-59 DPD,"03 - Other (e.g. community college, trade school, etc.)",1806,331.96,95,141.18,181,52.44,56.4,29.52,5.66,63.01,2.61,1.04,0.23,3.42,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_28,465285,2025-02,Student,101020204,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,02 - >660,02 - 30-59 DPD,04 - Not available,2320,206.76,386,227.76,832,138.58,94.22,9.9,18.14,63.24,2.37,0.15,1.42,1.1,0.36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_29,397206,2025-02,Student,101020301,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,02 - >660,03 - 60-89 DPD,01 - Undergraduate - 4 year,5165,454.68,180,172.34,90,76.02,109.69,41.78,10.47,72.91,1.77,0.13,0.96,0.94,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_30,967600,2025-02,Student,101020302,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,02 - >660,03 - 60-89 DPD,02 - Graduate / Professional,7980,152.15,222,204.18,215,87.55,32.45,66.64,37.78,66.16,0.78,0.73,0.94,0.57,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
