BHC_NAME,RSSD_ID,REPORTING_MONTH,PORTFOLIO_ID,SEGMENT_ID,Product Type,Age,Credit Score,Delinquency Status,Education Level,# Accounts,$ Outstandings,# Accounts in Repayment,$ Outstandings in Repayment,# New Disbursements,$ New Disbursements,$ Unpaid Principal Balance with Co-Signer,$ Unpaid Principal Balance in Grace,$ Unpaid Principal Balance in Deferment,$ Unpaid Principal Balance in Forbearance,$ Gross Contractual Charge-offs,$ Bankruptcy Charge-offs,$ Recoveries,$ Net Charge-offs,Adjustment Factor,WAL
Bank_1,678409,2025-02,Student,101010101,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,01 - Current & 1-29 DPD,01 - Undergraduate - 4 year,9344,296.38,352,153.24,572,29.9,56.73,31.33,25.95,69.42,3.4,0.34,0.7,3.04,0.0,56
Bank_2,699379,2025-02,Student,101010102,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,01 - Current & 1-29 DPD,02 - Graduate / Professional,6127,144.37,61,241.89,48,95.56,143.15,81.53,79.37,61.45,4.5,1.22,0.37,5.35,0.0,37
Bank_3,925207,2025-02,Student,101010103,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,01 - Current & 1-29 DPD,"03 - Other (e.g. community college, trade school, etc.)",4811,386.67,457,197.68,58,127.19,37.03,64.3,49.04,73.38,0.72,0.5,0.26,0.96,0.0,39
Bank_4,866611,2025-02,Student,101010104,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,01 - Current & 1-29 DPD,04 - Not available,1587,89.63,284,231.3,303,23.94,13.53,70.54,29.01,71.12,3.15,0.45,1.25,2.35,0.0,13
Bank_5,955672,2025-02,Student,101010201,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,02 - 30-59 DPD,01 - Undergraduate - 4 year,3382,51.19,219,296.59,581,23.15,105.63,39.03,34.64,66.28,2.0,0.13,0.7,1.43,0.0,53
Bank_6,578844,2025-02,Student,101010202,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,02 - 30-59 DPD,02 - Graduate / Professional,7659,102.57,70,221.29,691,174.65,71.18,76.03,57.26,29.7,3.54,1.01,1.14,3.41,0.0,52
Bank_7,291685,2025-02,Student,101010203,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,02 - 30-59 DPD,"03 - Other (e.g. community college, trade school, etc.)",4444,438.29,195,179.71,312,135.46,49.47,92.34,43.65,42.32,2.49,0.91,0.55,2.85,-0.06,44
Bank_8,434742,2025-02,Student,101010204,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,02 - 30-59 DPD,04 - Not available,3737,276.31,316,113.4,293,84.5,56.69,27.32,65.85,50.38,3.71,0.85,0.11,4.45,0.0,22
Bank_9,448429,2025-02,Student,101010301,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,03 - 60-89 DPD,01 - Undergraduate - 4 year,2780,380.48,103,22.71,587,152.86,52.13,36.76,71.28,59.35,1.45,0.24,1.45,0.24,0.0,62
Bank_10,932438,2025-02,Student,101010302,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,03 - 60-89 DPD,02 - Graduate / Professional,4287,219.42,194,7.9,77,27.38,99.1,52.01,24.13,25.67,3.18,0.39,0.4,3.17,-0.0,45
